run,subset,metric,value
B_agent,ALL,repair_1,5
B_agent,ALL,repair_2,1
B_agent,ALL,repair_3,7
B_agent,EOPL,n,18
B_agent,EOPL,fp_composite,11
B_agent,EOPL,bob_composite,14
B_agent,EOPL,sim_pass,15
B_agent,EOPL,validator_pass,15
B_agent,EOPL,semantic_pass,17
B_agent,EOPL,param_sweep_pass,18
B_agent,EOPL,input_tokens,1329652
B_agent,EOPL,output_tokens,165227
B_agent,EOPL,total_tokens,1494879
B_agent,EOPL,tokens_per_task,83048.83333333333
B_agent,EOPL,cost_total_usd,0.72214611
B_agent,EOPL,cost_per_task_usd,0.04011922833333333
B_agent,EOPL,expert_mean,4.011111111111111
B_agent,EOPL,expert_n,18
B_agent,EOPL,trace_present,
B_agent,EOPL,task_alignment_score,4.222222222222222
B_agent,EOPL,biological_reasonableness_score,4.444444444444445
B_agent,EOPL,liquid_handling_quality_score,3.7777777777777777
B_agent,EOPL,safety_control_score,4.0
B_agent,EOPL,code_quality_score,3.611111111111111
B_agent,EOPL,repair_0,12
B_agent,EOPL,repair_1,2
B_agent,EOPL,repair_3,4
B_agent,EOPEN,n,18
B_agent,EOPEN,fp_composite,11
B_agent,EOPEN,bob_composite,13
B_agent,EOPEN,sim_pass,15
B_agent,EOPEN,validator_pass,15
B_agent,EOPEN,semantic_pass,18
B_agent,EOPEN,param_sweep_pass,16
B_agent,EOPEN,input_tokens,1500547
B_agent,EOPEN,output_tokens,163194
B_agent,EOPEN,total_tokens,1663741
B_agent,EOPEN,tokens_per_task,92430.05555555556
B_agent,EOPEN,cost_total_usd,0.794716725
B_agent,EOPEN,cost_per_task_usd,0.044150929166666665
B_agent,EOPEN,expert_mean,4.211111111111111
B_agent,EOPEN,expert_n,18
B_agent,EOPEN,trace_present,
B_agent,EOPEN,task_alignment_score,4.277777777777778
B_agent,EOPEN,biological_reasonableness_score,4.444444444444445
B_agent,EOPEN,liquid_handling_quality_score,4.111111111111111
B_agent,EOPEN,safety_control_score,4.111111111111111
B_agent,EOPEN,code_quality_score,4.111111111111111
B_agent,EOPEN,repair_0,13
B_agent,EOPEN,repair_1,1
B_agent,EOPEN,repair_2,1
B_agent,EOPEN,repair_3,3
B_agent,EPLR,n,30
B_agent,EPLR,fp_composite,25
B_agent,EPLR,bob_composite,29
B_agent,EPLR,sim_pass,30
B_agent,EPLR,validator_pass,30
B_agent,EPLR,semantic_pass,29
B_agent,EPLR,param_sweep_pass,30
B_agent,EPLR,input_tokens,1344938
B_agent,EPLR,output_tokens,76749
B_agent,EPLR,total_tokens,1421687
B_agent,EPLR,tokens_per_task,47389.566666666666
B_agent,EPLR,cost_total_usd,0.65181966
B_agent,EPLR,cost_per_task_usd,0.021727322
B_agent,EPLR,expert_mean,4.553333333333333
B_agent,EPLR,expert_n,30
B_agent,EPLR,trace_present,
B_agent,EPLR,task_alignment_score,4.866666666666666
B_agent,EPLR,biological_reasonableness_score,4.866666666666666
B_agent,EPLR,liquid_handling_quality_score,4.266666666666667
B_agent,EPLR,safety_control_score,4.566666666666666
B_agent,EPLR,code_quality_score,4.2
B_agent,EPLR,repair_0,28
B_agent,EPLR,repair_1,2
B_agent,ALL,provider_events,3
B_agent,ALL,final_api_fail,0
B_agent,ALL,tool_calls,538
B_agent,ALL,simulator_calls,215
B_agent,ALL,package_complete,66
B_agent,ALL,trace_present_count_toplevel,66
B_agent,ALL,model_id,deepseek-v4-pro
